track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
HFinvs	genomicSuperDups_coords_normal.bed	3320614	862925.3200	490745.0000	1362446.0000	285928.9413	3.8481	1.9441	1.0000e-02	1.0000e-02	19	8209286	1.1735e+00	2855	85675883	1.2247e+01	38	3320614	4.7466e-01	200.0000	40.4495	1.3310	3.8758
HFNAHRinvs	genomicSuperDups_coords_normal.bed	3320614	870909.3300	450631.0000	1290548.0000	278866.7950	3.8128	1.9309	1.0000e-02	1.0000e-02	12	8072200	1.1539e+00	2855	85675883	1.2247e+01	38	3320614	4.7466e-01	316.6667	41.1364	1.3310	3.8758
HFNAHRno501invs	genomicSuperDups_coords_normal.bed	1459386	329537.1100	182600.0000	637115.0000	139418.7407	4.4286	2.1468	1.0000e-02	1.0000e-02	11	2421091	3.4608e-01	2855	85675883	1.2247e+01	26	1459386	2.0861e-01	236.3636	60.2780	0.9107	1.7034
HFNHinvs	genomicSuperDups_coords_normal.bed	0	14770.6600	0.0000	36543.0000	12593.9586	0.0001	-13.8505	1.4000e-01	1.4000e-01	7	137086	1.9596e-02	2855	85675883	1.2247e+01	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFno501invs	genomicSuperDups_coords_normal.bed	1459386	341594.1100	176067.0000	689270.0000	164409.4756	4.2723	2.0950	1.0000e-02	1.0000e-02	18	2558177	3.6567e-01	2855	85675883	1.2247e+01	26	1459386	2.0861e-01	144.4444	57.0479	0.9107	1.7034
invs	genomicSuperDups_coords_normal.bed	4213127	1129312.5100	658992.0000	1773521.0000	331077.1713	3.7307	1.8994	1.0000e-02	1.0000e-02	36	10050495	1.4367e+00	2855	85675883	1.2247e+01	70	4213127	6.0224e-01	194.4444	41.9196	2.4518	4.9175
LFinvs	genomicSuperDups_coords_normal.bed	892513	227615.1700	73583.0000	504192.0000	131421.8922	3.9211	1.9713	1.0000e-02	1.0000e-02	18	1852592	2.6482e-01	2855	85675883	1.2247e+01	32	892513	1.2758e-01	177.7778	48.1764	1.1208	1.0417
LFNAHRinvs	genomicSuperDups_coords_normal.bed	694973	144322.9500	0.0000	484938.0000	144688.6688	4.8154	2.2676	1.0000e-02	1.0000e-02	8	994122	1.4210e-01	2855	85675883	1.2247e+01	19	694973	9.9342e-02	237.5000	69.9082	0.6655	0.8112
LFNHinvs	genomicSuperDups_coords_normal.bed	197540	110668.1500	762.0000	375179.0000	130886.2791	1.7850	0.8359	2.4000e-01	2.4000e-01	10	858470	1.2271e-01	2855	85675883	1.2247e+01	13	197540	2.8237e-02	130.0000	23.0107	0.4553	0.2306
NAHRinvs	genomicSuperDups_coords_normal.bed	4015587	1046913.1200	634719.0000	1621365.0000	307396.2791	3.8356	1.9395	1.0000e-02	1.0000e-02	20	9066322	1.2960e+00	2855	85675883	1.2247e+01	57	4015587	5.7400e-01	285.0000	44.2912	1.9965	4.6870
NAHRno501invs	genomicSuperDups_coords_normal.bed	2154359	478947.1600	182108.0000	940480.0000	216933.8296	4.4981	2.1693	1.0000e-02	1.0000e-02	19	3415213	4.8818e-01	2855	85675883	1.2247e+01	45	2154359	3.0795e-01	236.8421	63.0812	1.5762	2.5145
NHinvs	genomicSuperDups_coords_normal.bed	197540	127507.1900	8724.0000	409901.0000	135289.3115	1.5492	0.6316	2.4000e-01	2.4000e-01	16	984173	1.4068e-01	2855	85675883	1.2247e+01	13	197540	2.8237e-02	81.2500	20.0717	0.4553	0.2306
no501invs	genomicSuperDups_coords_normal.bed	2351899	630206.7000	253290.0000	1056850.0000	262653.4911	3.7319	1.8999	1.0000e-02	1.0000e-02	35	4399386	6.2886e-01	2855	85675883	1.2247e+01	58	2351899	3.3619e-01	165.7143	53.4597	2.0315	2.7451
